AverageRateBlockedDefTent__c,AverageRateBlockedDef__c,AverageRateBlockedTent__c,BlockedDefinite__c,BlockedDefTent__c,BlockedProspect__c,BlockedTentative__c,BudgetedRate__c,BudgetedRooms__c,DailyRoomInventory__c,EffectiveDateString__c,EffectiveDate__c,ExternalId__c,ForecastedOccupancy__c,GroupAvailable__c,GuestroomType__c,IsRunOfHouse__c,Location__c,MinimumAcceptableRate__c,Name,NIHRMMigrations_ExternalID__c,OccupancyPercentage__c,OutOfService__c,PhysicalRoomInventory__c,PMSOnlyTransient__c,RackRate__c,RevenueBlockedDef__c,RevenueBlockedTent__c,RevenueDefTent__c,RoomTypeAvailable__c,SourceSystemExternalId__c,TotalAverageRateBlockedDefTent__c,TotalAverageRateBlockedDef__c,TotalAverageRateBlockedTent__c,TotalBlockedDefinite__c,TotalBlockedDefTent__c,TotalBlockedProspect__c,TotalBlockedTentative__c,TotalDailyRoomInventory__c,TotalForecastedOccupancy__c,TotalGroupAvailable__c,TotalGroupCeiling__c,TotalOccupancyPercentage__c,TotalOutOfService__c,TotalPhysicalRoomInventory__c,TotalRevenueBlockedDef__c,TotalRevenueBlockedTent__c,TotalRevenueDefTent__c,TotalRoomTypeAvailable__c,TotalTransientProtected__c,TotalTransientSold__c,TransientProtectedRemaining__c,TransientProtected__c,TransientSold__c,UniqueExternalId__c
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-01-26,2026-01-26,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 1/26/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-01-27,2026-01-27,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 1/27/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-01-28,2026-01-28,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 1/28/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-01-29,2026-01-29,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 1/29/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-01-30,2026-01-30,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 1/30/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-01-31,2026-01-31,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 1/31/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-02-01,2026-02-01,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/1/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-02-02,2026-02-02,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/2/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-02-03,2026-02-03,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/3/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-02-04,2026-02-04,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/4/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-02-05,2026-02-05,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/5/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-02-06,2026-02-06,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/6/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-02-07,2026-02-07,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/7/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-02-08,2026-02-08,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/8/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-02-09,2026-02-09,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/9/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-02-10,2026-02-10,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/10/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-02-11,2026-02-11,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/11/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-02-12,2026-02-12,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/12/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-02-13,2026-02-13,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/13/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-02-14,2026-02-14,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/14/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-02-15,2026-02-15,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/15/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-02-16,2026-02-16,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/16/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-02-17,2026-02-17,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/17/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-02-18,2026-02-18,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/18/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-02-19,2026-02-19,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/19/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-02-20,2026-02-20,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/20/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-02-21,2026-02-21,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/21/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-02-22,2026-02-22,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/22/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-02-23,2026-02-23,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/23/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-02-24,2026-02-24,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/24/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-02-25,2026-02-25,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/25/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-02-26,2026-02-26,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/26/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
245.0,245.0,0.0,10.0,10.0,0.0,0.0,,,70.0,2026-02-27,2026-02-27,,14.29,60.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/27/2026,,14.29,,70.0,0.0,0.0,2450.0,0.0,2450.0,60.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
245.0,245.0,0.0,10.0,10.0,0.0,0.0,,,70.0,2026-02-28,2026-02-28,,14.29,60.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 2/28/2026,,14.29,,70.0,0.0,0.0,2450.0,0.0,2450.0,60.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
245.0,245.0,0.0,10.0,10.0,0.0,0.0,,,70.0,2026-03-01,2026-03-01,,14.29,60.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 3/1/2026,,14.29,,70.0,0.0,0.0,2450.0,0.0,2450.0,60.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
245.0,245.0,0.0,10.0,10.0,0.0,0.0,,,70.0,2026-03-02,2026-03-02,,14.29,60.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 3/2/2026,,14.29,,70.0,0.0,0.0,2450.0,0.0,2450.0,60.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-03-03,2026-03-03,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 3/3/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-03-04,2026-03-04,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 3/4/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-03-05,2026-03-05,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 3/5/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-03-06,2026-03-06,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 3/6/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-03-07,2026-03-07,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 3/7/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-03-08,2026-03-08,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 3/8/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-03-09,2026-03-09,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 3/9/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-03-10,2026-03-10,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 3/10/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-03-11,2026-03-11,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 3/11/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-03-12,2026-03-12,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 3/12/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-03-13,2026-03-13,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 3/13/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-03-14,2026-03-14,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 3/14/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-03-15,2026-03-15,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 3/15/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-03-16,2026-03-16,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 3/16/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-03-17,2026-03-17,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 3/17/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-03-18,2026-03-18,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 3/18/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-03-19,2026-03-19,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 3/19/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
