Id,BlockedDefinite__c,GroupAvailable__c
a4JKa000000kRvMMAU,30,40
a4JKa000000kRvNMAU,35,35
a4JKa000000kRvOMAU,45,25
a4JKa000000kRvPMAU,15,55
a4JKa000000kRvQMAU,10,60
a4JKa000000kRvRMAU,35,35
a4JKa000000kRvSMAU,40,30
a4JKa000000kRvTMAU,30,40
a4JKa000000kRvUMAU,10,60
a4JKa000000kRvVMAU,5,65
a4JKa000000kRvWMAU,30,40
a4JKa000000kRvXMAU,45,25
a4JKa000000kRvYMAU,45,25
a4JKa000000kRvZMAU,30,40
a4JKa000000kRvaMAE,20,50
a4JKa000000kRvbMAE,35,35
a4JKa000000kRvcMAE,45,25
a4JKa000000kRvdMAE,30,40
a4JKa000000kRveMAE,45,25
a4JKa000000kRvfMAE,50,20
a4JKa000000kRvgMAE,35,35
a4JKa000000kRvhMAE,30,40
a4JKa000000kRviMAE,40,30
a4JKa000000kRvjMAE,5,65
a4JKa000000kRvkMAE,40,30
a4JKa000000kRvlMAE,50,20
a4JKa000000kRvmMAE,25,45
a4JKa000000kRvnMAE,30,40
a4JKa000000kRvoMAE,25,45
a4JKa000000kRvpMAE,5,65
a4JKa000000kRvqMAE,10,60
a4JKa000000kRvrMAE,35,35
a4JKa000000kRvsMAE,40,30
a4JKa000000kRvtMAE,45,25
a4JKa000000kRvuMAE,35,35
a4JKa000000kRvvMAE,15,55
a4JKa000000kRvwMAE,5,65
a4JKa000000kRvxMAE,10,60
a4JKa000000kRvyMAE,10,60
a4JKa000000kRvzMAE,20,50
a4JKa000000kRw0MAE,30,40
a4JKa000000kRw1MAE,10,60
a4JKa000000kRw2MAE,20,50
a4JKa000000kRw3MAE,10,60
a4JKa000000kRw4MAE,50,20
a4JKa000000kRw5MAE,15,55
a4JKa000000kRw6MAE,20,50
a4JKa000000kRw7MAE,35,35
a4JKa000000kRw8MAE,45,25
a4JKa000000kRw9MAE,40,30
a4JKa000000kRwAMAU,40,30
a4JKa000000kRwBMAU,50,20
a4JKa000000kRwCMAU,30,40
a4JKa000000kRwDMAU,40,30
a4JKa000000kRwEMAU,50,20
a4JKa000000kRwFMAU,15,55
a4JKa000000kRwGMAU,30,40
a4JKa000000kRwHMAU,50,20
a4JKa000000kRwIMAU,45,25
a4JKa000000kRwJMAU,10,60
a4JKa000000kRwKMAU,15,55
a4JKa000000kRwLMAU,10,60
a4JKa000000kRwMMAU,10,60
a4JKa000000kRwNMAU,35,35
a4JKa000000kRwOMAU,10,60
a4JKa000000kRwPMAU,45,25
a4JKa000000kRwQMAU,30,40
a4JKa000000kRwRMAU,20,50
a4JKa000000kRwSMAU,50,20
a4JKa000000kRwTMAU,30,40
a4JKa000000kRwUMAU,15,55
a4JKa000000kRwVMAU,15,55
a4JKa000000kRwWMAU,5,65
a4JKa000000kRwXMAU,5,65
a4JKa000000kRwYMAU,45,25
a4JKa000000kRwZMAU,5,65
a4JKa000000kRwaMAE,20,50
a4JKa000000kRwbMAE,50,20
a4JKa000000kRwcMAE,30,40
a4JKa000000kRwdMAE,40,30
a4JKa000000kRweMAE,5,65
a4JKa000000kRwfMAE,10,60
a4JKa000000kRwgMAE,20,80
a4JKa000000kRwhMAE,30,70
a4JKa000000kRwiMAE,50,50
a4JKa000000kRwjMAE,45,55
a4JKa000000kRwkMAE,20,80
a4JKa000000kRwlMAE,35,65
a4JKa000000kRwmMAE,10,90
a4JKa000000kRwnMAE,50,50
a4JKa000000kRwoMAE,35,65
a4JKa000000kRwpMAE,5,95
a4JKa000000kRwqMAE,35,65
a4JKa000000kRwrMAE,35,65
a4JKa000000kRwsMAE,10,90
a4JKa000000kRwtMAE,25,75
a4JKa000000kRwuMAE,50,50
a4JKa000000kRwvMAE,5,95
a4JKa000000kRwwMAE,10,90
a4JKa000000kRwxMAE,50,50
a4JKa000000kRwyMAE,35,65
a4JKa000000kRwzMAE,5,95
a4JKa000000kRx0MAE,5,95
a4JKa000000kRx1MAE,45,55
a4JKa000000kRx2MAE,10,90
a4JKa000000kRx3MAE,25,75
a4JKa000000kRx4MAE,45,55
a4JKa000000kRx5MAE,40,60
a4JKa000000kRx6MAE,15,85
a4JKa000000kRx7MAE,20,80
a4JKa000000kRx8MAE,25,75
a4JKa000000kRx9MAE,45,55
a4JKa000000kRxAMAU,45,55
a4JKa000000kRxBMAU,50,50
a4JKa000000kRxCMAU,10,90
a4JKa000000kRxDMAU,25,75
a4JKa000000kRxEMAU,10,90
a4JKa000000kRxFMAU,45,55
a4JKa000000kRxGMAU,45,55
a4JKa000000kRxHMAU,50,50
a4JKa000000kRxIMAU,10,90
a4JKa000000kRxJMAU,40,60
a4JKa000000kRxKMAU,20,80
a4JKa000000kRxLMAU,5,95
a4JKa000000kRxMMAU,15,85
a4JKa000000kRxNMAU,30,70
a4JKa000000kRxOMAU,30,70
a4JKa000000kRxPMAU,35,65
a4JKa000000kRxQMAU,30,70
a4JKa000000kRxRMAU,40,60
a4JKa000000kRxSMAU,10,90
a4JKa000000kRxTMAU,30,70
a4JKa000000kRxUMAU,20,80
a4JKa000000kRxVMAU,45,55
a4JKa000000kRxWMAU,50,50
a4JKa000000kRxXMAU,20,80
a4JKa000000kRxYMAU,20,80
a4JKa000000kRxZMAU,40,60
a4JKa000000kRxaMAE,50,50
a4JKa000000kRxbMAE,50,50
a4JKa000000kRxcMAE,20,80
a4JKa000000kRxdMAE,5,95
a4JKa000000kRxeMAE,35,65
a4JKa000000kRxfMAE,40,60
a4JKa000000kRxgMAE,15,85
a4JKa000000kRxhMAE,50,50
a4JKa000000kRxiMAE,20,80
a4JKa000000kRxjMAE,15,85
a4JKa000000kRxkMAE,25,75
a4JKa000000kRxlMAE,15,85
a4JKa000000kRxmMAE,20,80
a4JKa000000kRxnMAE,5,95
a4JKa000000kRxoMAE,15,85
a4JKa000000kRxpMAE,20,80
a4JKa000000kRxqMAE,25,75
a4JKa000000kRxrMAE,15,85
a4JKa000000kRxsMAE,35,65
a4JKa000000kRxtMAE,20,80
a4JKa000000kRxuMAE,50,50
a4JKa000000kRxvMAE,35,65
a4JKa000000kRxwMAE,15,85
a4JKa000000kRxxMAE,10,90
a4JKa000000kRxyMAE,20,80
a4JKa000000kRxzMAE,45,55
a4JKa000000kRy0MAE,30,70
a4JKa000000kRy1MAE,20,80
a4JKa000000kRy2MAE,30,70
a4JKa000000kRy3MAE,5,95
a4JKa000000kRy4MAE,25,75
a4JKa000000kRy5MAE,35,65
a4JKa000000kRy6MAE,5,95
a4JKa000000kRy7MAE,20,80
a4JKa000000kRy8MAE,50,50
a4JKa000000kRy9MAE,40,60
a4JKa000000kRyAMAU,10,90
a4JKa000000kRyBMAU,5,95
a4JKa000000kRyCMAU,35,65
a4JKa000000kRyDMAU,35,65
a4JKa000000kRyEMAU,20,80
a4JKa000000kRyFMAU,10,90
a4JKa000000kRyGMAU,50,50
a4JKa000000kRyHMAU,40,60
a4JKa000000kRyIMAU,35,65
a4JKa000000kRyJMAU,5,95
a4JKa000000kRyKMAU,35,65
a4JKa000000kRyLMAU,5,95
a4JKa000000kRyMMAU,5,95
a4JKa000000kRyNMAU,10,90
a4JKa000000kRyOMAU,50,50
a4JKa000000kRyPMAU,30,70
a4JKa000000kRyQMAU,5,95
a4JKa000000kRyRMAU,45,55
a4JKa000000kRySMAU,20,80
a4JKa000000kRyTMAU,15,85
a4JKa000000kRyUMAU,25,75
a4JKa000000kRyVMAU,50,50
a4JKa000000kRyWMAU,45,55
a4JKa000000kRyXMAU,35,65
a4JKa000000kRyYMAU,45,55
a4JKa000000kRyZMAU,15,85
a4JKa000000kRyaMAE,50,50
a4JKa000000kRybMAE,15,85
a4JKa000000kRycMAE,5,95
a4JKa000000kRydMAE,20,80
a4JKa000000kRyeMAE,5,95
a4JKa000000kRyfMAE,10,90
a4JKa000000kRygMAE,30,70
a4JKa000000kRyhMAE,30,70
a4JKa000000kRyiMAE,25,75
a4JKa000000kRyjMAE,5,95
a4JKa000000kRykMAE,5,95
a4JKa000000kRylMAE,10,90
a4JKa000000kRymMAE,5,95
a4JKa000000kRynMAE,10,90
a4JKa000000kRyoMAE,45,55
a4JKa000000kRypMAE,45,55
a4JKa000000kRyqMAE,20,80
a4JKa000000kRyrMAE,25,75
a4JKa000000kRysMAE,40,60
a4JKa000000kRytMAE,40,60
a4JKa000000kRyuMAE,15,85
a4JKa000000kRyvMAE,5,95
a4JKa000000kRywMAE,45,55
a4JKa000000kRyxMAE,35,65
a4JKa000000kRyyMAE,25,75
a4JKa000000kRyzMAE,35,65
a4JKa000000kRz0MAE,50,50
a4JKa000000kRz1MAE,35,65
a4JKa000000kRz2MAE,5,95
a4JKa000000kRz3MAE,5,95
a4JKa000000kRz4MAE,15,85
a4JKa000000kRz5MAE,20,80
a4JKa000000kRz6MAE,20,80
a4JKa000000kRz7MAE,30,70
a4JKa000000kRz8MAE,5,10
a4JKa000000kRz9MAE,5,10
a4JKa000000kRzAMAU,5,10
a4JKa000000kRzBMAU,10,5
a4JKa000000kRzCMAU,10,5
a4JKa000000kRzDMAU,10,5
a4JKa000000kRzEMAU,5,10
a4JKa000000kRzFMAU,10,5
a4JKa000000kRzGMAU,10,5
a4JKa000000kRzHMAU,10,5
a4JKa000000kRzIMAU,10,5
a4JKa000000kRzJMAU,5,10
a4JKa000000kRzKMAU,10,5
a4JKa000000kRzLMAU,5,10
a4JKa000000kRzMMAU,5,10
a4JKa000000kRzNMAU,10,5
a4JKa000000kRzOMAU,10,5
a4JKa000000kRzPMAU,5,10
a4JKa000000kRzQMAU,10,5
a4JKa000000kRzRMAU,5,10
a4JKa000000kRzSMAU,10,5
a4JKa000000kRzTMAU,10,5
a4JKa000000kRzUMAU,10,5
a4JKa000000kRzVMAU,10,5
a4JKa000000kRzWMAU,5,10
a4JKa000000kRzXMAU,5,10
a4JKa000000kRzYMAU,10,5
a4JKa000000kRzZMAU,10,5
a4JKa000000kRzaMAE,5,10
a4JKa000000kRzbMAE,5,10
a4JKa000000kRzcMAE,10,5
a4JKa000000kRzdMAE,10,5
a4JKa000000kRzeMAE,5,10
a4JKa000000kRzfMAE,10,5
a4JKa000000kRzgMAE,5,10
a4JKa000000kRzhMAE,10,5
a4JKa000000kRziMAE,10,5
a4JKa000000kRzjMAE,5,10
a4JKa000000kRzkMAE,5,10
a4JKa000000kRzlMAE,5,10
a4JKa000000kRzmMAE,5,10
a4JKa000000kRznMAE,10,5
a4JKa000000kRzoMAE,10,5
a4JKa000000kRzpMAE,10,5
a4JKa000000kRzqMAE,5,10
a4JKa000000kRzrMAE,10,5
a4JKa000000kRzsMAE,10,5
a4JKa000000kRztMAE,5,10
a4JKa000000kRzuMAE,5,10
a4JKa000000kRzvMAE,10,5
a4JKa000000kRzwMAE,5,10
a4JKa000000kRzxMAE,5,10
a4JKa000000kRzyMAE,10,5
a4JKa000000kRzzMAE,5,10
a4JKa000000kS00MAE,10,5
a4JKa000000kS01MAE,5,10
a4JKa000000kS02MAE,5,10
a4JKa000000kS03MAE,5,10
a4JKa000000kS04MAE,10,5
a4JKa000000kS05MAE,5,10
a4JKa000000kS06MAE,5,10
a4JKa000000kS07MAE,5,10
a4JKa000000kS08MAE,10,5
a4JKa000000kS09MAE,5,10
a4JKa000000kS0AMAU,10,5
a4JKa000000kS0BMAU,10,5
a4JKa000000kS0CMAU,10,5
a4JKa000000kS0DMAU,10,5
a4JKa000000kS0EMAU,10,5
a4JKa000000kS0FMAU,5,10
a4JKa000000kS0GMAU,5,10
a4JKa000000kS0HMAU,5,10
a4JKa000000kS0IMAU,10,5
a4JKa000000kS0JMAU,10,5
a4JKa000000kS0KMAU,10,5
a4JKa000000kS0LMAU,10,5
a4JKa000000kS0MMAU,5,10
a4JKa000000kS0NMAU,5,10
a4JKa000000kS0OMAU,5,10
a4JKa000000kS0PMAU,5,10
a4JKa000000kS0QMAU,5,10
a4JKa000000kS0RMAU,5,10
a4JKa000000kS0SMAU,5,10
a4JKa000000kS0TMAU,5,10
a4JKa000000kS0UMAU,10,5
a4JKa000000kS0VMAU,5,10
a4JKa000000kS0WMAU,10,5
a4JKa000000kS0XMAU,10,5
a4JKa000000kS0YMAU,10,5
a4JKa000000kS0ZMAU,10,5
a4JKa000000kS0aMAE,10,5
a4JKa000000kS0bMAE,10,5
a4JKa000000kS0cMAE,10,5
a4JKa000000kS0dMAE,10,5
a4JKa000000kS0eMAE,10,5
a4JKa000000kS0fMAE,5,10
a4JKa000000kS0gMAE,10,5
a4JKa000000kS0hMAE,5,10
a4JKa000000kS0iMAE,10,5
a4JKa000000kS0jMAE,5,10
a4JKa000000kS0kMAE,5,10
a4JKa000000kS0lMAE,10,5
a4JKa000000kS0mMAE,5,10
a4JKa000000kS0nMAE,5,10
a4JKa000000kS0oMAE,5,10
a4JKa000000kS0pMAE,10,5
a4JKa000000kS0qMAE,10,5
a4JKa000000kS0rMAE,10,5
a4JKa000000kS0sMAE,10,5
a4JKa000000kS0tMAE,10,5
a4JKa000000kS0uMAE,5,10
a4JKa000000kS0vMAE,5,10
a4JKa000000kS0wMAE,5,10
a4JKa000000kS0xMAE,10,5
a4JKa000000kS0yMAE,10,5
a4JKa000000kS0zMAE,5,10
a4JKa000000kS10MAE,5,10
a4JKa000000kS11MAE,5,10
a4JKa000000kS12MAE,5,10
a4JKa000000kS13MAE,5,10
a4JKa000000kS14MAE,10,5
a4JKa000000kS15MAE,10,5
a4JKa000000kS16MAE,5,10
a4JKa000000kS17MAE,5,10
a4JKa000000kS18MAE,10,5
a4JKa000000kS19MAE,5,10
a4JKa000000kS1AMAU,5,10
a4JKa000000kS1BMAU,5,10
a4JKa000000kS1CMAU,5,10
a4JKa000000kS1DMAU,10,5
a4JKa000000kS1EMAU,5,10
a4JKa000000kS1FMAU,10,5
a4JKa000000kS1GMAU,5,10
a4JKa000000kS1HMAU,5,10
a4JKa000000kS1IMAU,5,10
a4JKa000000kS1JMAU,5,10
a4JKa000000kS1KMAU,5,10
a4JKa000000kS1LMAU,5,10
a4JKa000000kS1MMAU,5,10
a4JKa000000kS1NMAU,5,10
a4JKa000000kS1OMAU,10,5
a4JKa000000kS1PMAU,10,5
a4JKa000000kS1QMAU,10,5
a4JKa000000kS1RMAU,10,5
a4JKa000000kS1SMAU,10,5
a4JKa000000kS1TMAU,10,5
a4JKa000000kS1UMAU,5,10
a4JKa000000kS1VMAU,10,5
a4JKa000000kS1WMAU,5,10
a4JKa000000kS1XMAU,5,10
a4JKa000000kS1YMAU,10,5
a4JKa000000kS1ZMAU,10,5
a4JKa000000kS1aMAE,5,10
a4JKa000000kS1bMAE,10,5
a4JKa000000kS1cMAE,5,10
a4JKa000000kS1dMAE,10,5
a4JKa000000kS1eMAE,5,10
a4JKa000000kS1fMAE,5,10
a4JKa000000kS1gMAE,10,5
a4JKa000000kS1hMAE,10,5
a4JKa000000kS1iMAE,10,5
a4JKa000000kS1jMAE,10,5
a4JKa000000kS1kMAE,10,5
a4JKa000000kS1lMAE,5,10
a4JKa000000kS1mMAE,10,5
a4JKa000000kS1nMAE,5,10
a4JKa000000kS1oMAE,5,10
a4JKa000000kS1pMAE,10,5
a4JKa000000kS1qMAE,5,10
a4JKa000000kS1rMAE,5,10
a4JKa000000kS1sMAE,10,5
a4JKa000000kS1tMAE,10,5
a4JKa000000kS1uMAE,10,5
a4JKa000000kS1vMAE,5,10
a4JKa000000kS1wMAE,5,10
a4JKa000000kS1xMAE,10,5
a4JKa000000kS1yMAE,10,5
a4JKa000000kS1zMAE,5,10
a4JKa000000kS20MAE,10,5
a4JKa000000kS21MAE,10,5
a4JKa000000kS22MAE,10,5
a4JKa000000kS23MAE,5,10
a4JKa000000kS24MAE,10,5
a4JKa000000kS25MAE,10,5
a4JKa000000kS26MAE,10,5
a4JKa000000kS27MAE,5,10
a4JKa000000kS28MAE,5,10
a4JKa000000kS29MAE,10,5
a4JKa000000kS2AMAU,5,10
a4JKa000000kS2BMAU,5,10
a4JKa000000kS2CMAU,5,10
a4JKa000000kS2DMAU,10,5
a4JKa000000kS2EMAU,10,5
a4JKa000000kS2FMAU,10,5
a4JKa000000kS2GMAU,10,5
a4JKa000000kS2HMAU,10,5
a4JKa000000kS2IMAU,10,5
a4JKa000000kS2JMAU,10,5
a4JKa000000kS2KMAU,10,5
a4JKa000000kS2LMAU,10,5
a4JKa000000kS2MMAU,5,10
a4JKa000000kS2NMAU,10,5
a4JKa000000kS2OMAU,10,5
a4JKa000000kS2PMAU,10,5
a4JKa000000kS2QMAU,5,10
a4JKa000000kS2RMAU,5,10
a4JKa000000kS2SMAU,5,10
a4JKa000000kS2TMAU,5,10
a4JKa000000kS2UMAU,10,5
a4JKa000000kS2VMAU,5,10
a4JKa000000kS2WMAU,5,10
a4JKa000000kS2XMAU,10,5
a4JKa000000kS2YMAU,10,5
a4JKa000000kS2ZMAU,5,10
a4JKa000000kS2aMAE,10,5
a4JKa000000kS2bMAE,5,10
a4JKa000000kS2cMAE,10,5
a4JKa000000kS2dMAE,10,5
a4JKa000000kS2eMAE,5,10
a4JKa000000kS2fMAE,10,5
a4JKa000000kS2gMAE,5,10
a4JKa000000kS2hMAE,10,5
a4JKa000000kS2iMAE,5,10
a4JKa000000kS2jMAE,5,10
a4JKa000000kS2kMAE,10,5
a4JKa000000kS2lMAE,5,10
a4JKa000000kS2mMAE,5,10
a4JKa000000kS2nMAE,10,5
a4JKa000000kS2oMAE,10,5
a4JKa000000kS2pMAE,5,10
a4JKa000000kS2qMAE,10,5
a4JKa000000kS2rMAE,5,10
a4JKa000000kS2sMAE,5,10
a4JKa000000kS2tMAE,10,5
a4JKa000000kS2uMAE,10,5
a4JKa000000kS2vMAE,5,10
a4JKa000000kS2wMAE,5,10
a4JKa000000kS2xMAE,5,10
a4JKa000000kS2yMAE,10,5
a4JKa000000kS2zMAE,5,10
a4JKa000000kS30MAE,10,5
a4JKa000000kS31MAE,5,10
a4JKa000000kS32MAE,10,5
a4JKa000000kS33MAE,5,10
a4JKa000000kS34MAE,10,5
a4JKa000000kS35MAE,10,5
a4JKa000000kS36MAE,5,10
a4JKa000000kS37MAE,5,10
a4JKa000000kS38MAE,5,10
a4JKa000000kS39MAE,5,10
a4JKa000000kS3AMAU,5,10
a4JKa000000kS3BMAU,10,5
a4JKa000000kS3CMAU,10,5
a4JKa000000kS3DMAU,5,10
a4JKa000000kS3EMAU,10,5
a4JKa000000kS3FMAU,10,5
a4JKa000000kS3GMAU,10,5
a4JKa000000kS3HMAU,5,10
a4JKa000000kS3IMAU,10,5
a4JKa000000kS3JMAU,10,5
a4JKa000000kS3KMAU,10,5
a4JKa000000kS3LMAU,10,5
a4JKa000000kS3MMAU,10,5
a4JKa000000kS3NMAU,10,5
a4JKa000000kS3OMAU,10,5
a4JKa000000kS3PMAU,10,5
a4JKa000000kS3QMAU,10,5
a4JKa000000kS3RMAU,5,10
a4JKa000000kS3SMAU,5,10
a4JKa000000kS3TMAU,5,10
a4JKa000000kS3UMAU,10,5
a4JKa000000kS3VMAU,5,10
a4JKa000000kS3WMAU,10,5
a4JKa000000kS3XMAU,5,10
a4JKa000000kS3YMAU,10,5
a4JKa000000kS3ZMAU,10,5
a4JKa000000kS3aMAE,5,10
a4JKa000000kS3bMAE,5,10
a4JKa000000kS3cMAE,5,10
a4JKa000000kS3dMAE,5,10
a4JKa000000kS3eMAE,10,5
a4JKa000000kS3fMAE,10,5
a4JKa000000kS3gMAE,5,10
a4JKa000000kS3hMAE,10,5
a4JKa000000kS3iMAE,10,5
a4JKa000000kS3jMAE,10,5
a4JKa000000kS3kMAE,5,10
a4JKa000000kS3lMAE,5,10
a4JKa000000kS3mMAE,5,10
a4JKa000000kS3nMAE,5,10
a4JKa000000kS3oMAE,5,10
a4JKa000000kS3pMAE,5,10
a4JKa000000kS3qMAE,10,5
a4JKa000000kS3rMAE,5,10
a4JKa000000kS3sMAE,10,5
a4JKa000000kS3tMAE,5,10
a4JKa000000kS3uMAE,5,10
a4JKa000000kS3vMAE,5,10
a4JKa000000kS3wMAE,10,5
a4JKa000000kS3xMAE,10,5
a4JKa000000kS3yMAE,5,10
a4JKa000000kS3zMAE,10,5
a4JKa000000kS40MAE,10,5
a4JKa000000kS41MAE,10,5
a4JKa000000kS42MAE,10,5
a4JKa000000kS43MAE,5,10
a4JKa000000kS44MAE,10,5
a4JKa000000kS45MAE,10,5
a4JKa000000kS46MAE,10,5
a4JKa000000kS47MAE,10,5
a4JKa000000kS48MAE,5,10
a4JKa000000kS49MAE,5,10
a4JKa000000kS4AMAU,10,5
a4JKa000000kS4BMAU,5,10
a4JKa000000kS4CMAU,10,5
a4JKa000000kS4DMAU,10,5
a4JKa000000kS4EMAU,5,10
a4JKa000000kS4FMAU,10,5
a4JKa000000kS4GMAU,5,10
a4JKa000000kS4HMAU,10,5
a4JKa000000kS4IMAU,5,10
a4JKa000000kS4JMAU,10,5
a4JKa000000kS4KMAU,10,5
a4JKa000000kS4LMAU,5,10
a4JKa000000kS4MMAU,5,10
a4JKa000000kS4NMAU,5,10
a4JKa000000kS4OMAU,10,5
a4JKa000000kS4PMAU,5,10
a4JKa000000kS4QMAU,10,5
a4JKa000000kS4RMAU,5,10
a4JKa000000kS4SMAU,10,5
a4JKa000000kS4TMAU,10,5
a4JKa000000kS4UMAU,5,10
a4JKa000000kS4VMAU,5,10
a4JKa000000kS4WMAU,5,10
a4JKa000000kS4XMAU,5,10
a4JKa000000kS4YMAU,10,5
a4JKa000000kS4ZMAU,10,5
a4JKa000000kS4aMAE,5,10
a4JKa000000kS4bMAE,5,10
a4JKa000000kS4cMAE,5,10
a4JKa000000kS4dMAE,5,10
a4JKa000000kS4eMAE,10,5
a4JKa000000kS4fMAE,5,10
a4JKa000000kS4gMAE,5,10
a4JKa000000kS4hMAE,10,5
a4JKa000000kS4iMAE,5,10
a4JKa000000kS4jMAE,5,10
a4JKa000000kS4kMAE,10,5
a4JKa000000kS4lMAE,5,10
a4JKa000000kS4mMAE,10,40
a4JKa000000kS4nMAE,20,30
a4JKa000000kS4oMAE,30,20
a4JKa000000kS4pMAE,5,45
a4JKa000000kS4qMAE,10,40
a4JKa000000kS4rMAE,45,5
a4JKa000000kS4sMAE,15,35
a4JKa000000kS4tMAE,45,5
a4JKa000000kS4uMAE,20,30
a4JKa000000kS4vMAE,40,10
a4JKa000000kS4wMAE,45,5
a4JKa000000kS4xMAE,30,20
a4JKa000000kS4yMAE,25,25
a4JKa000000kS4zMAE,40,10
a4JKa000000kS50MAE,35,15
a4JKa000000kS51MAE,10,40
a4JKa000000kS52MAE,10,40
a4JKa000000kS53MAE,45,5
a4JKa000000kS54MAE,10,40
a4JKa000000kS55MAE,30,20
a4JKa000000kS56MAE,40,10
a4JKa000000kS57MAE,40,10
a4JKa000000kS58MAE,15,35
a4JKa000000kS59MAE,40,10
a4JKa000000kS5AMAU,40,10
a4JKa000000kS5BMAU,40,10
a4JKa000000kS5CMAU,25,25
a4JKa000000kS5DMAU,45,5
a4JKa000000kS5EMAU,30,20
a4JKa000000kS5FMAU,10,40
a4JKa000000kS5GMAU,5,45
a4JKa000000kS5HMAU,30,20
a4JKa000000kS5IMAU,5,45
a4JKa000000kS5JMAU,25,25
a4JKa000000kS5KMAU,30,20
a4JKa000000kS5LMAU,40,10
a4JKa000000kS5MMAU,5,45
a4JKa000000kS5NMAU,30,20
a4JKa000000kS5OMAU,30,20
